"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?"
lmpduedate,initial_screening,,text,"Fecha estimada para el parto",,MM-DD-YYYY,date_mdy,,,,"[interest] = '1'",,,,,
ultrasound,initial_screening,,radio,,"1, S",,,,,,"[interest] = '1'",,,,,
ultradate,initial_screening,,text,"Si contesta S",,MM-DD-YYYY,date_mdy,,,,"[ultrasound]='1' and [interest] = '1'",,,,,
ultragestagew,initial_screening,,text,,,Semanas,number,4,42,,"[ultrasound]='1' and [interest] = '1'",,,,,
ultragestaged,initial_screening,,text,,,Dias,number,0,7,,"[ultrasound]='1' and [interest] = '1'",,,,,
gestageelig,initial_screening,,radio,,"1, S",,,,,,"[interest] = '1'",,,,,
bcusebp,initial_screening,SECCI,radio,,"1, S",,,,,,"[interest] = '1'",,,,,
ivf,initial_screening,,radio,,"1, S",,,,,,"[interest] = '1'",,,,,
multifetus,initial_screening,,radio,,"1, S",,,,,,"[interest] = '1'",,,,,
obdiff,initial_screening,,radio,,"1, S",,,,,,"[interest] = '1'",,,,,
obdiffabort,initial_screening,,radio,"Amenaza de aborto","1, S",,,,,,"[interest] = '1' and [obdiff]='1'",,,,,
obdiffvagbleed,initial_screening,,radio,"Sangrado vaginal o dolor abdominal fuerte (sin diagn","1, S",,,,,,"[interest] = '1' and [obdiff]='1'",,,,,
obdiffdiab,initial_screening,,radio,"Diabetes antes del embarazo","1, S",,,,,,"[interest] = '1' and [obdiff]='1'",,,,,
obdiffcard,initial_screening,,radio,"Enfermedad cardiaca antes del embarazo","1, S",,,,,,"[interest] = '1' and [obdiff]='1'",,,,,
obdiffhbp,initial_screening,,radio,Presi,"1, S",,,,,,"[interest] = '1' and [obdiff]='1'",,,,,
obdiffkidney,initial_screening,,radio,"(Nefropatia): Enfermedad de los ri","1, S",,,,,,"[interest] = '1' and [obdiff]='1'",,,,,
obdiffneuro,initial_screening,,radio,Neuropat,"1, S",,,,,,"[interest] = '1' and [obdiff]='1'",,,,,
obdiffliver,initial_screening,,radio,"Enfermedad del higado antes del embarazo","1, S",,,,,,"[interest] = '1' and [obdiff]='1'",,,,,
obdiffsurg,initial_screening,,radio,Cirug,"1, S",,,,,,"[interest] = '1' and [obdiff]='1'",,,,,
eligible,initial_screening,SECCI,radio,,"1, S",,,,,,,,,,,
willing,initial_screening,SECCI,radio,,"1, S",,,,,,,,,,,
wontreason,initial_screening,,radio,"Si la respuesta es ","1, No tiene tiempo | 2, Vive muy lejos | 3, No quiere proveer muestras| 97, Otra",,,,,,[willing]='0',,,,,
wontreasonother,initial_screening,,text,"Otra raz",,,,,,,"[wontreason]='97' ",,,,,
ishomadd1,initial_screening,,text,Direcci,,"Calle / Num.",,,,y,,y,,,,
ishomadd2,initial_screening,,text,Direcci,,"Num. / Urbanizaci",,,,y,,y,,,,
ishomaddcity,initial_screening,,text,"Ciudad (Residencia)",,Ciudad,,,,y,,y,,,,
ishomaddzip,initial_screening,,text,"Codigo Postal (Residencia)",,"Codigo Postal (Ej: 00959)",,,,y,,y,,,,
ishomeaddref,initial_screening,,text,"Referencias: Calles cercanas, calle transversal, o lugares de inter",,,,,,y,,y,,,,
isworkadd1,initial_screening,,text,Direcci,,"Calle / Num.",,,,y,,y,,,,
isworkadd2,initial_screening,,text,Direcci,,"Num. / Urbanizaci",,,,y,,y,,,,
isworkaddcity,initial_screening,,text,"Ciudad (Trabajo)",,Ciudad,,,,y,,y,,,,
isworkaddzip,initial_screening,,text,"Codigo Postal (Trabajo)",,"Codigo Postal (Ej: 00959)",,,,y,,y,,,,
ishomephone,initial_screening,,text,Tel,,"10 Numeros (Incluir codigo postal)",,,,y,,y,,,,
ismobilephone,initial_screening,,text,Tel,,"10 Numeros (Incluir codigo postal)",,,,y,,y,,,,
isworkphone,initial_screening,,text,Tel,,"10 Numeros (Incluir codigo postal)",,,,y,,y,,,,
isotherphone,initial_screening,,text,Tel,,"10 Numeros (Incluir codigo postal)",,,,y,,y,,,,
recruitsite,initial_screening,,radio,,"1, Manat",,,,,,"[interest] = '1'",,,,,
recruitsite97,initial_screening,,text,"Especifique lugar de reclutamiento",,,,,,,[recruitsite]='97',,,,,
isendtime,initial_screening,,text,"Hora al final de la entrevista",,"Hora militar (hh:mm) (1:00pm = 13:00)",time,00:01,23:59,,"[interest] = '1'",,,,,
sampleuse,consent_form,"MUESTRAS BIOLOGICAS",radio,"Los investigadores pueden usar las muestras biol","1, Solo para este estudio. | 2, Para este estudio y para futuros estudios de exposici",,,,,,,,,,,
genotyping,consent_form,,radio,,"1, S",,,,,,,,,,,
dnastorage,consent_form,,radio,,"1, S",,,,,,,,,,,
signconsent,consent_form,,radio,,"1, S",,,,,,,y,,,,
signdate_cons,consent_form,,text,"Fecha en la que se firmo el documento de consentimiento",,MM-DD-YYYY,date_mdy,,,,,,,,,
irbversiondate,consent_form,,text,"Fecha de aprobaci",,MM-DD-YYYY,date_mdy,,,,,,,,,
fvstarttime,first_visit,,text,"Hora de inicio cuestionario primera visita       ",,"Hora militar (hh:mm) (1:00pm = 13:00)",time,00:01,23:59,,,,,,,
fvdate,first_visit,,text,"Fecha de la primera visita ",,MM-DD-YYYY,date_mdy,,,,,y,,,,
interviewer_fv,first_visit,,radio,,"1, Camille Rivera | 2, Dalitza Ram",,,,,,,,,,,
fvotherinterviewer,first_visit,,text,"Nombre del Entrevistador",,,,,,,[interviewer_fv]='7',,,,,
bday,first_visit,,text,"Fecha de Nacimiento ",,MM-DD-YYYY,date_mdy,,,,,,,,,
duedate,first_visit,,text,,,MM-DD-YYYY,date_mdy,,,,,,,,,
lmpdate,first_visit,"EDAD GESTACIONAL",text,"Fecha Ultima Menstruaci",,MM-DD-YYYY,date_mdy,,,,,y,,,,
ultragestagew_fv,first_visit,,text,"Edad gestacional estimada por ultrasonido (Semanas)",,Semanas,number,4,42,,,,,,,
ultragestaged_fv,first_visit,,text,"Edad gestacional estimada por ultrasonido (Dias)",,Dias,number,0,7,,,,,,,
residchang,first_visit,,radio,"Ha cambiado de residencia desde la ultima vez nos vimos?","1, S",,,,,,,,,,,
fvhomadd,first_visit,,text,Direcci,,"Calle / Num.",,,,y,"[residchang] = '1'",,,,,
fvhomeadd2,first_visit,,text,Direcci,,"Num. / Urbanizaci",,,,y,"[residchang] = '1'",,,,,
fvhomeaddcity,first_visit,,text,"Ciudad (Residencia)",,Ciudad,,,,y,"[residchang] = '1'",,,,,
fvhomeaddzip,first_visit,,text,"Codigo Postal (Residencia)",,"Codigo Postal (Ej: 00959)",,,,y,"[residchang] = '1'",,,,,
birthadd,first_visit,,notes,,,"Ciudad, Pa",,,,,,,,,,
mombirthadd,first_visit,,notes,,,"Ciudad, Pa",,,,,,,,,,
dadbirthadd,first_visit,,notes,,,"Ciudad, Pa",,,,,,,,,,
fvmarstat,first_visit,INFORMACI,radio,"Estado civil","1, Soltera | 2, Casada | 3, Divorciada | 4, Viuda | 5, Uni",,,,,,,,,,,
hisp,first_visit,,radio,,"1, S",,,,,,,,,,,
hisporg,first_visit,,radio,,"1, Puertorrique",,,,,,[hisp]='1',,,,,
hisporg97,first_visit,,text,"Origen hispano otros",,"35 Letras",,,,,[hisporg]='97',,,,,
race,first_visit,,checkbox,,"1, Blanca | 2, Negra o Afro-americana | 3, Ind",,,,,,,,,,,
race97,first_visit,,text,"Especifique otra raza",,"35 Letras",,,,,"[race(97)] = '1'",,,,,
ed,first_visit,,dropdown,,"1, No escuela | 2, Pre-escolar a 4to grado | 3, 5to a 6to grado | 4, 7mo a 8vo grado | 5, 9no grado | 6, 10mo grado | 7, 11 Grado | 8, 12 Grado (No Diploma) | 9, Diploma Escuela Superior | 10, GED o Equivalente | 11, Algunos creditos universitarios, pero menos de un ano | 12, 1 o mas anos de universidad, pero sin grado | 13, Grado asociado: ocupacional, tecnico o programa vocacional | 14, Grado Asociado: programa academico | 15, Grado Bachillerato (Ej: B.A. o B.S.) | 16, Maestria (Ej: M.A. o M.S.) |17, Grado de escuela profesional (Ej: MD, DDS) |18, Grado doctoral (Ej: Ph.D o Ed.D) | 888, Rehusa | 999, No Sabe",,,,,,,,,,,
pathisp,first_visit,,radio,,"1, S",,,,,,,,,,,
pathisporg,first_visit,,radio,,"1, Puertorrique",,,,,,,,,,,
pathisporg97,first_visit,,text,"Origen hispano otros",,,,,,,[pathisporg]='97',,,,,
patrace,first_visit,,checkbox,,"1, Blanco | 2, Negro o Afro-americano | 3, Indigena americano o Indigena de Alaska | 4, Asiatico | 5, Nativo de Hawai u Otras Islas Pacificas | 6, Mestizo | 7, Alguna Otra Raza (Especifique)","Seleccione todas las que apliquen",,,,,,,,,,
patrace97,first_visit,,text,"Especifique otra raza del padre del beb",,"35 Letras",,,,,[patrace(7)]='1',,,,,
pated,first_visit,,radio,,"1, No escuela | 2, Pre-escolar a 4to grado | 3, 5to a 6to grado | 4, 7mo a 8vo grado | 5, 9no grado | 6, 10mo grado | 7, 11 Grado | 8, 12 Grado (No Diploma) | 9, Diploma Escuela Superior | 10, GED o Equivalente | 11, Algunos creditos universitarios, pero menos de un ano | 12, 1 o mas anos de universidad, pero sin grado | 13, Grado asociado: ocupacional, tecnico o programa vocacional | 14, Grado Asociado: programa academico | 15, Grado Bachillerato (Ej: B.A. o B.S.) | 16, Maestria (Ej: M.A. o M.S.) |17, Grado de escuela profesional (Ej: MD, DDS) |18, Grado doctoral (Ej: Ph.D o Ed.D) | 888, Rehusa | 999, No Sabe",,,,,,,,,,,
fvstud,first_visit,"ESTADO DE EMPLEO",radio,,"0, No, no soy estudiante | 1, Si - estudiante a tiempo completo | 2, Si - estudiante a tiempo parcial | 888, Rehusa | 999, No Sabe",,,,,,,,,,,
fvschl,first_visit,,radio,,"1, Escuela superior | 2, Escuela t",,,,,,"[fvstud]='1' or [fvstud]='2'",,,,,
fvschl97,first_visit,,text,"Especifique otro tipo de escuela",,"35 Letras",,,,,[fvschl]='97',,,,,
fvschlloc,first_visit,,radio,,"1, Sal","Seleccione solo una alternativa",,,,,"([fvstud]='1' or [fvstud]='2')",,,,,
fvschlloc97,first_visit,,text,"Especifique otra localidad",,,,,,,"([fvstud]='1' or [fvstud]='2') and [fvschlloc]='97'",,,,,
fvschladd,first_visit,,text,"Por favor digame la direcci",,"Calle / Num.",,,,y,"([fvstud]='1' or [fvstud]='2') ",,,,,
fvschladd2,first_visit,,text,Direcci,,"Num. / Urbanizaci",,,,y,"([fvstud]='1' or [fvstud]='2') ",,,,,
fvschladdcity,first_visit,,text,"Ciudad (Escuela)",,Ciudad,,,,y,"([fvstud]='1' or [fvstud]='2') ",,,,,
fvschladdzip,first_visit,,text,"Codigo Postal (Escuela)",,"Codigo Postal (Ej: 00959)",,,,y,"([fvstud]='1' or [fvstud]='2') ",,,,,
fulljobs,first_visit,"HISTORIAL DE TRABAJOS",text,,,"2 numeros",number,0,20,,,,,,,
partjobs,first_visit,,text,,,"2 numeros",number,0,20,,,,,,,
voljobs,first_visit,,text,,,"2 numeros",number,0,20,,,,,,,
currjob,first_visit,,radio,,"1, S",,,,,,,,,,,
fvjobtitle,first_visit,,text,,,"35 Letras",,,,y,[currjob]='1',,,,,
fvjobemp,first_visit,,text,,,"35 Letras",,,,y,[currjob]='1',,,,,
fvjobact,first_visit,,text,,,"35 Letras",,,,,[currjob]='1',,,,,
fvjobind,first_visit,,text,,,"35 Letras",,,,,[currjob]='1',,,,,
fvjobhrs,first_visit,,text,,,"Numero de horas ",,,,,[currjob]='1',,,,,
fvjobshft,first_visit,,radio,,"1, Turno en el d",,,,,,[currjob]='1',,,,,
fvjobhvy,first_visit,,radio,,"1, Nunca | 2, Algunas veces | 3, Frecuentemente | 888, Reh",,,,,,[currjob]='1',,,,,
fvjobexrt,first_visit,,radio,,"1, Leve | 2, Moderada | 3, Fuerte | 888, Reh",,,,,,[currjob]='1',,,,,
fvjobtmp,first_visit,,radio,,"1, Normal (68-73 grados Farenheit) o temperatura ambiente | 2, Sobre temperatura ambiente | 3, Por debajo de la temperatura ambiente | 888, Reh",,,,,,[currjob]='1',,,,,
fvjobloc,first_visit,,checkbox,,"1, Area de oficina | 2, Tienda | 3, Sal",,,,,,[currjob]='1',,,,,
fvjobloc97,first_visit,,text,"Especifique otro lugar de trabajo",,"35 Letras",,,,,"[currjob]='1' and [fvjobloc(97)]='1'",,,,,
fvjobaddtype,first_visit,,radio,,"1, Casa | 2, Var",,,,,,[currjob]='1',,,,,
fvjobaddtype97,first_visit,,text,"Otra direccion",,,,,,,[fvjobaddtype]='4',,,,,
fvjobchng,first_visit,,radio,,"1, S",,,,,,,,,,,
fvjobchadd1,first_visit,,text,"Por favor d",,"Calle / Num.",,,,,[fvjobchng]='1',,,,,
fvjobchadd2,first_visit,,text,Direcci,,"Num. / Urbanizaci",,,,,[fvjobchng]='1',,,,,
fvjobchcity,first_visit,,text,"Ciudad (Trabajo -Cambio)",,Ciudad,,,,,[fvjobchng]='1',,,,,
fvjobchzip,first_visit,,text,"Codigo Postal (Trabajo - Cambio)",,"Codigo Postal (Ej: 00959)",,,,,[fvjobchng]='1',,,,,
fvinc,first_visit,INGRESOS,radio,"De estos grupos de ingresos, ","1, Menos de $4,999 | 2, $5,000-$9,999 | 3, $10,000 a $19,999 | 4, $20,000 a $29,999 | 5, $30,000 a $39,999 | 6, $40,000 a $49,999 | 7, $50,000 a $74,999 | 8, $75,000 a $99,999 | 9, $100,000 a $199,000 | 10, $200,000 o m",,,,,,,,,,,
fvincsup,first_visit,,radio,,"1, S",,,,,,,,,,,
fvincsupnum,first_visit,,text,,,"Numero de miembros",number,1,10,,[fvincsup]='1',,,,,
smkever,first_visit,TABAQUISMO,radio,,"1, S",,,,,,,,,,,
smk100,first_visit,,radio,,"1, S",,,,,,[smkever]='1',,,,,
smk,first_visit,,radio,,"1, S",,,,,,[smkever]='1',,,,,
smkdaily_my,first_visit,,radio,,"1, S",,,,,,[smkever]='1',,,,,
smkyrs,first_visit,,text,,,N,,,,,[smkever]='1',,,,,
cigsperday,first_visit,,text,,,,,,,,[smkever]='1',,,,,
lastcig,first_visit,,radio,,"0, Hoy | 1, Semana Pasada | 2, M",,,,,,[smkever]='1',,,,,
smkquit,first_visit,,radio,,"1, S",,,,,,[smkever]='1',,,,,
smkquitpreg,first_visit,,radio,,"1, S",,,,,,[smkever]='1',,,,,
smkquityrs,first_visit,,text,,,"Numero de a",,,,,[smkever]='1',,,,,
homsmk,first_visit,,radio,,"1, S",,,,,,,,,,,
dadhomsmk,first_visit,,radio,,"1, S",,,,,,[homsmk]='1',,,,,
dadhomsmkcigs,first_visit,,text,,,,,,,,"[dadhomsmk]='1' and [homsmk]='1'",,,,,
momhomsmk,first_visit,,radio,,"1, S",,,,,,[homsmk]='1',,,,,
momhomsmkcigs,first_visit,,text,,,,,,,,"[momhomsmk]='1' and [homsmk]='1'",,,,,
pathomsmk,first_visit,,radio,,"1, S",,,,,,[homsmk]='1',,,,,
pathomsmkcigs,first_visit,,text,,,,,,,,"[pathomsmk]='1' and  [homsmk]='1'",,,,,
sibhomsmk,first_visit,,radio,,"1, S",,,,,,[homsmk]='1',,,,,
sibhomsmkcigs,first_visit,,text,,,,,,,,"[sibhomsmk]='1' and [homsmk]='1'",,,,,
otherhomsmk,first_visit,,radio,,"1, S",,,,,,[homsmk]='1',,,,,
otherhomsmkcigs,first_visit,,text,,,,,,,,"[otherhomsmk]='1' and [homsmk]='1'",,,,,
smksmell,first_visit,,text,,,,number,0,24,,,,,,,
lastalc,first_visit,"USO DE ALCOHOL",radio,,"0, No bebo alcohol | 1, Hoy | 2, Ayer | 3, Semana pasada | 4, M",,,,,,,,,,,
alcdays,first_visit,,radio,"Durante el pasado a","0, Ninguno | 1, 1 a 2 d",,,,,,"[lastalc]>'0' and [lastalc]<'7'",,,,,
alcdrinks,first_visit,,radio,"Durante el a","0, Ninguno | 1, 1 a 2 tragos | 2, 3",,,,,,,,,,,
marijuse,first_visit,"USO DE DROGAS",radio,,"1, S",,,,,,,,,,,
druguse,first_visit,,radio,,"1, S",,,,,,,,,,,
druga,first_visit,,text,,,,,,,,[druguse]='1',,,,,
drugb,first_visit,,text,,,,,,,,[druguse]='1',,,,,
drugc,first_visit,,text,,,,,,,,[druguse]='1',,,,,
drugd,first_visit,,text,,,,,,,,[druguse]='1',,,,,
fvwatdrink,first_visit,"USO DE AGUA",radio,,"1, Autoridad de Acueductos y Alcantarillados de PR (AAA) | 2, Pozo privado | 3, Pozo comunitario (No-AAA) | 4, Toma de agua superficial (No-AAA) | 5, Cisterna (Tanque de agua) | 6, Colecci",,,,,,,,,,,
fvwatcook,first_visit,,radio,,"1, Autoridad de Acueductos y Alcantarillados de PR (AAA) | 2, Pozo privado | 3, Pozo comunitario (No-AAA) | 4, Toma de agua superficial (No-AAA) | 5, Cisterna (Tanque de agua) | 6, Colecci",,,,,,,,,,,
watstore,first_visit,,radio,,"1, S",,,,,,,,,,,
watstoremat,first_visit,,radio,,"1, Pl",,,,,,"[watstore] ='1'",,,,,
wattreat,first_visit,,radio,,"1, S",,,,,,,,,,,
wattreattyp,first_visit,,radio,"Si trata el agua, ","1,  Filtro de cartucho | 2, Osmosis reversible | 3, Hierve el agua | 4, Suavizador de agua| 888, Reh",,,,,,"[wattreat] ='1'",,,,,
watfilter,first_visit,,radio,,"1, Casi nunca o Nunca | 2, Aproximadamente 1/4 del tiempo | 3, Aproximadamente 1/2  del tiempo | 4, Alrededor de 3/4 del tiempo | 5, Casi siempre o Siempre | 888, Reh",,,,,,,,,,,
fvheadache,first_visit,"HISTORIAL M",radio,,"1, S",,,,,,,,,,,
fvheadachenum,first_visit,,radio,"Dolor de cabeza episodios por dia","1, 1-2 episodios por d",,,,,,[fvheadache]='1',,,,,
fvdizzy,first_visit,,radio,,"1, S",,,,,,,,,,,
fvdizzynum,first_visit,,radio,"Episodios de mareos, por d","1, 1-2 episodios por d",,,,,,[fvdizzy]='1',,,,,
fvnausea,first_visit,,radio,,"1, S",,,,,,,,,,,
fvnauseanum,first_visit,,radio,N,"1, 1-2 episodios por d",,,,,,[fvnausea]='1',,,,,
fvvomdaily,first_visit,,radio,,"1, S",,,,,,,,,,,
fvvomdailynum,first_visit,,radio,"Episodios de v","1, 1-2 episodios por d",,,,,,[fvvomdaily]='1',,,,,
fvhearbuzz,first_visit,,radio,,"1, S",,,,,,,,,,,
fvhearbuzznum,first_visit,,radio,"Episodios de zumbidos por d","1, 1-2 episodios por d",,,,,,[fvhearbuzz]='1',,,,,
fvseestars,first_visit,,radio,,"1, S",,,,,,,,,,,
fvseestarsnum,first_visit,,radio,"Luces, episodios por d","1, 1-2 episodios por d",,,,,,[fvseestars]='1',,,,,
fvfetmov,first_visit,,radio,,"1, S",,,,,,,,,,,
fvfetmovnorm,first_visit,,radio,,"1, S",,,,,,[fvfetmov]='1',,,,,
fvfetmovless,first_visit,,radio,"Si no, ","1, S",,,,,,"[fvfetmovnorm]='0' and [fvfetmov]='1'",,,,,
fvcontract,first_visit,,radio,,"1, S",,,,,,,,,,,
fvcontractnumweek,first_visit,,text,"Si las presentas, ",,"Numero de veces",,,,,[fvcontract]='1',,,,,
fvcontractnumday,first_visit,,text,"Si las presentas, ",,"Numero de veces",,,,,[fvcontract]='1',,,,,
fvcontractnumhour,first_visit,,text,"Si las presentas, ",,"Numero de veces",,,,,[fvcontract]='1',,,,,
fvcontractnum10min,first_visit,,text,"Si las presentas, ",,"Numero de veces",,,,,[fvcontract]='1',,,,,
fvdischrg,first_visit,,radio,,"1, S",,,,,,,,,,,
fvdischrgclr,first_visit,,radio,"Caracteristicas del flujo vaginal ","1, S",,,,,,[fvdischrg]='1',,,,,
fvdischrgwht,first_visit,,radio,"Caracteristicas del flujo vaginal, ","1, S",,,,,,[fvdischrg]='1',,,,,
fvdischrgspck,first_visit,,radio,"Caracteristicas del flujo vaginal, ","1, S",,,,,,[fvdischrg]='1',,,,,
fvdischrgfet,first_visit,,radio,"Caracteristicas del flujo vaginal, ","1, S",,,,,,[fvdischrg]='1',,,,,
fvdischrgyw,first_visit,,radio,"Caracteristicas del flujo vaginal, ","1, S",,,,,,[fvdischrg]='1',,,,,
fvdischrggr,first_visit,,radio,"Caracteristicas del flujo vaginal, ","1, S",,,,,,[fvdischrg]='1',,,,,
fvdischrgcof,first_visit,,radio,"Caracteristicas del flujo vaginal, ","1, S",,,,,,[fvdischrg]='1',,,,,
fvdischrgbld,first_visit,,radio,"Caracteristicas del flujo vaginal, ","1, S",,,,,,[fvdischrg]='1',,,,,
fvurinburn,first_visit,,radio,,"1, S",,,,,,,,,,,
fvurinfreq,first_visit,,radio,,"1, S",,,,,,,,,,,
fvswolfeet,first_visit,,radio,,"1, S",,,,,,,,,,,
fvhealth,first_visit,,radio,"Actualmente, dir","1, Excelente | 2, Muy buena | 3, Buena | 4, Razonable | 5, Pobre | 888, Reh",,,,,,,,,,,
fillings,first_visit,,radio,,"1, S",,,,,,,,,,,
fiilings_number,first_visit,,text,"Cantidad de empastes dentales",,"Numero de empastes",number,1,25,,[fillings]='1',,,,,
silvfillings,first_visit,,text,,,"Numero de empastes",number,1,25,,[fillings]='1',,,,,
trypreg,first_visit,"HISTORIAL DE EMBARAZOS",radio,,"1, S",,,,,,,,,,,
trypregmos,first_visit,,text,,,"Si la respuesta es 1 mes o menos, anote 1.",,,,,[trypreg]='1',,,,,
ovldrug,first_visit,,checkbox,,"1, Clomid | 2, Gonal F |3, Bravelle | 4, Follistim | 5, Repronex | 6, Pergonal | 7, Pregnyl | 8, Profasi | 9, Novarel | 97, Otra droga",,,,,,,,,,,
ovlother97,first_visit,,text,"Otras drogas para la ovulaci",,,,,,,"[ovldrug(97)] = '1'",,,,,
wtprepreg,first_visit,,text,,,"Peso en libras",number,80,300,,,,,,,
wtprepregoz,first_visit,,text,,,,number,0,11,,,,,,,
agemens,first_visit,,text,,,"Numero (Edad)",number,8,18,,,,,,,
pregnum,first_visit,,text,,,"Numero de embarazos",number,1,15,,,,,,,
childnum,first_visit,,text,,,"Numero de nacimientos sin incluir el actual",number,0,15,,,,,,,
age1stbirth,first_visit,,text,,,,number,12,40,,,,,,,
csection,first_visit,,radio,,"1, S",,,,,,,,,,,
csectionnum,first_visit,,text,,,,,,,,[csection]='1',,,,,
miscarrnum,first_visit,,text,,,,,,,,,,,,,
lowbirthwtnum,first_visit,,text,,,,,,,,,,,,,
prembirthnum,first_visit,,text,,,,,,,,,,,,,
stillbirthnum,first_visit,,text,,,,,,,,,,,,,
prevpregcomp,first_visit,"COMPLICACIONES EMBARAZO PREVIO",radio,,"1, S",,,,,,,,,,,
prevbld1trim,first_visit,,radio,"Durante sus embarazos previos, ","1, S",,,,,,[prevpregcomp]='0',,,,,
prevbld2trim,first_visit,,radio,"Durante sus embarazos previos, ","1, S",,,,,,[prevpregcomp]='0',,,,,
prevbld3trim,first_visit,,radio,"Durante sus embarazos previos, ","1, S",,,,,,[prevpregcomp]='0',,,,,
prevprom,first_visit,,radio,"Durante sus embarazos previos, ","1, S",,,,,,[prevpregcomp]='0',,,,,
prevpreeclmp,first_visit,,radio,"Durante sus embarazos previos, ","1, S",,,,,,[prevpregcomp]='0',,,,,
preveclmp,first_visit,,radio,"Durante sus embarazos previos, ","1, S",,,,,,[prevpregcomp]='0',,,,,
prevhd,first_visit,,radio,"Durante sus embarazos previos, ","1, S",,,,,,[prevpregcomp]='0',,,,,
prevneuro,first_visit,,radio,"Durante sus embarazos previos, ","1, S",,,,,,[prevpregcomp]='0',,,,,
prevgd,first_visit,,radio,"Durante sus embarazos previos, ","1, S",,,,,,[prevpregcomp]='0',,,,,
prevanemia,first_visit,,radio,"Durante sus embarazos previos, ","1, S",,,,,,[prevpregcomp]='0',,,,,
prevvaginf,first_visit,,radio,"Durante sus embarazos previos, ","1, S",,,,,,[prevpregcomp]='0',,,,,
prevstd,first_visit,,radio,"Durante sus embarazos previos, ","1, S",,,,,,[prevpregcomp]='0',,,,,
prevpregcompother,first_visit,,text,"Especifique otras complicaciones que haya tenido en embarazo previos",,"35 Letras",,,,,"[prevpregcomp] = '0'",,,,,
currbld1trim,first_visit,"COMPLICACIONES EMBARAZO ACTUAL",radio,"En este embarazo, ","1, S",,,,,,,,,,,
currbld2trim,first_visit,,radio,"En este embarazo, ","1, S",,,,,,,,,,,
currbld3trim,first_visit,,radio,"En este embarazo, ","1, S",,,,,,,,,,,
curruti,first_visit,,radio,"En este embarazo, ","1, S",,,,,,,,,,,
currstd,first_visit,,radio,"En este embarazo, ","1, S",,,,,,,,,,,
currprom,first_visit,,radio,"En este embarazo, ","1, S",,,,,,,,,,,
currpreeclmp,first_visit,,radio,"En este embarazo, ","1, S",,,,,,,,,,,
curreclmp,first_visit,,radio,"En este embarazo, ","1, S",,,,,,,,,,,
currhd,first_visit,,radio,"En este embarazo, ","1, S",,,,,,,,,,,
currneuro,first_visit,,radio,"En este embarazo, ","1, S",,,,,,,,,,,
currgd,first_visit,,radio,"En este embarazo, ","1, S",,,,,,,,,,,
